"time_epoch","time","temp_c","temp_f","is_day","condition","wind_mph","wind_kph","wind_degree","wind_dir","pressure_mb","pressure_in","precip_mm","precip_in","snow_cm","humidity","cloud","feelslike_c","feelslike_f","windchill_c","windchill_f","heatindex_c","heatindex_f","dewpoint_c","dewpoint_f","will_it_rain","chance_of_rain","will_it_snow","chance_of_snow","vis_km","vis_miles","gust_mph","gust_kph","uv"
"1673305200","2023-01-1000:00","7.8","46.0","0","Patchyrainpossible","18.8","30.2","133","SE","1005.0","29.68","0.1","0.0","0.0","71","71","3.7","38.6","3.7","38.6","7.8","46.0","3.0","37.4","1","100","0","0","10.0","6.0","30.6","49.3","1.0"
"1673308800","2023-01-1001:00","7.3","45.2","0","Cloudy","16.4","26.4","138","SE","1006.0","29.69","0.0","0.0","0.0","75","81","3.4","38.1","3.4","38.1","7.3","45.2","3.3","37.9","0","0","0","0","10.0","6.0","28.5","45.8","1.0"
"1673312400","2023-01-1002:00","6.9","44.4","0","Patchyrainpossible","14.0","22.6","142","SE","1006.0","29.71","0.1","0.0","0.0","79","90","3.2","37.7","3.2","37.7","6.9","44.4","3.5","38.4","1","100","0","0","10.0","6.0","25.7","41.3","1.0"
"1673316000","2023-01-1003:00","6.4","43.5","0","Patchyrainpossible","11.6","18.7","146","SSE","1006.0","29.72","0.2","0.01","0.0","83","100","3.0","37.4","3.0","37.4","6.4","43.5","3.8","38.8","1","100","0","0","10.0","6.0","20.9","33.7","1.0"
"1673319600","2023-01-1004:00","6.2","43.2","0","Patchyrainpossible","9.8","15.8","157","SSE","1007.0","29.73","0.3","0.01","0.0","85","100","3.2","37.7","3.2","37.7","6.2","43.2","3.9","39.1","1","100","0","0","10.0","6.0","14.9","24.0","1.0"
"1673323200","2023-01-1005:00","6.1","42.9","0","Moderaterainattimes","8.1","13.0","168","SSE","1008.0","29.75","0.7","0.03","0.0","87","100","3.4","38.1","3.4","38.1","6.1","42.9","4.1","39.3","1","100","0","0","10.0","6.0","14.5","23.3","1.0"
"1673326800","2023-01-1006:00","5.9","42.6","0","Moderaterainattimes","6.3","10.1","179","S","1008.0","29.77","0.5","0.02","0.0","89","100","3.7","38.7","3.7","38.7","5.9","42.6","4.2","39.6","1","100","0","0","10.0","6.0","13.6","22.0","1.0"
"1673330400","2023-01-1007:00","6.0","42.9","0","Patchyrainpossible","6.0","9.7","200","SSW","1009.0","29.79","0.2","0.01","0.0","89","100","4.0","39.1","4.0","39.1","6.0","42.9","4.4","40.0","1","100","0","0","10.0","6.0","14.7","23.6","1.0"
"1673334000","2023-01-1008:00","6.2","43.1","1","Patchyrainpossible","5.8","9.4","220","SW","1010.0","29.81","0.1","0.0","0.0","90","100","4.2","39.5","4.2","39.5","6.2","43.1","4.7","40.4","1","100","0","0","10.0","6.0","12.8","20.5","2.0"
"1673337600","2023-01-1009:00","6.3","43.3","1","Patchyrainpossible","5.6","9.0","240","WSW","1010.0","29.83","0.2","0.01","0.0","91","100","4.4","40.0","4.4","40.0","6.3","43.3","4.9","40.8","1","100","0","0","10.0","6.0","12.8","20.5","2.0"
"1673341200","2023-01-1010:00","6.2","43.2","1","Patchyrainpossible","7.6","12.2","264","W","1011.0","29.85","0.2","0.01","0.0","91","100","3.7","38.6","3.7","38.6","6.2","43.2","4.8","40.7","1","100","0","0","10.0","6.0","13.6","21.9","2.0"
"1673344800","2023-01-1011:00","6.1","43.0","1","Patchyrainpossible","9.6","15.5","288","WNW","1011.0","29.87","0.1","0.0","0.0","91","100","3.0","37.5","3.0","37.5","6.1","43.0","4.8","40.6","1","100","0","0","10.0","6.0","15.0","24.2","2.0"
"1673348400","2023-01-1012:00","6.0","42.8","1","Patchyrainpossible","11.6","18.7","312","NW","1012.0","29.88","0.1","0.0","0.0","92","100","2.5","36.5","2.5","36.5","6.0","42.8","4.7","40.5","1","100","0","0","10.0","6.0","14.5","23.4","2.0"
"1673352000","2023-01-1013:00","5.7","42.3","1","Patchyrainpossible","11.3","18.2","314","NW","1013.0","29.91","0.1","0.0","0.0","92","100","2.2","36.0","2.2","36.0","5.7","42.3","4.5","40.2","1","100","0","0","7.3","4.0","14.4","23.2","2.0"
"1673355600","2023-01-1014:00","5.5","41.8","1","Overcast","11.0","17.8","317","NW","1014.0","29.93","0.0","0.0","0.0","93","100","1.9","35.5","1.9","35.5","5.5","41.8","4.4","39.9","0","0","0","0","4.7","2.0","14.2","22.9","2.0"
"1673359200","2023-01-1015:00","5.2","41.4","1","Overcast","10.7","17.3","319","NW","1014.0","29.95","0.0","0.0","0.0","93","100","1.7","35.0","1.7","35.0","5.2","41.4","4.2","39.6","0","0","0","0","2.0","1.0","14.1","22.7","2.0"
"1673362800","2023-01-1016:00","5.0","41.1","1","Overcast","10.8","17.4","321","NW","1015.0","29.98","0.0","0.0","0.0","94","100","1.4","34.6","1.4","34.6","5.0","41.1","4.2","39.5","0","0","0","0","2.0","1.0","14.2","22.9","2.0"
"1673366400","2023-01-1017:00","4.9","40.8","0","Patchyrainpossible","10.9","17.5","324","NW","1016.0","30.0","0.1","0.0","0.0","95","100","1.2","34.2","1.2","34.2","4.9","40.8","4.1","39.4","1","100","0","0","2.0","1.0","14.4","23.2","1.0"
"1673370000","2023-01-1018:00","4.7","40.5","0","Patchyrainpossible","11.0","17.6","326","NNW","1017.0","30.03","0.1","0.0","0.0","96","100","1.0","33.8","1.0","33.8","4.7","40.5","4.1","39.4","1","100","0","0","2.0","1.0","14.5","23.4","1.0"
"1673373600","2023-01-1019:00","5.0","40.9","0","Patchyrainpossible","12.1","19.4","328","NNW","1017.0","30.04","0.3","0.01","0.0","94","100","1.1","34.0","1.1","34.0","5.0","40.9","4.1","39.4","1","100","0","0","4.7","2.0","16.0","25.8","1.0"
"1673377200","2023-01-1020:00","5.2","41.4","0","Heavyrainattimes","9.9","16.0","329","NNW","1018.0","30.06","1.0","0.04","0.0","92","100","1.9","35.4","1.9","35.4","5.2","41.4","4.1","39.4","1","100","0","0","7.3","4.0","17.5","28.2","1.0"
"1673380800","2023-01-1021:00","5.5","41.9","0","Heavyrainattimes","10.8","17.4","331","NNW","1019.0","30.08","1.2","0.05","0.0","91","100","2.0","35.6","2.0","35.6","5.5","41.9","4.1","39.4","1","100","0","0","10.0","6.0","19.0","30.6","1.0"
"1673384400","2023-01-1022:00","5.4","41.8","0","Heavyrainattimes","12.2","19.7","332","NNW","1017.0","30.03","1.2","0.05","0.0","92","100","1.7","35.0","1.7","35.0","5.4","41.8","4.2","39.5","1","100","0","0","9.7","6.0","20.2","32.5","1.0"
"1673388000","2023-01-1023:00","5.4","41.7","0","Moderateorheavyrainshower","12.8","20.5","334","NNW","1016.0","29.99","1.5","0.06","0.0","93","100","1.5","34.6","1.5","34.6","5.4","41.7","4.2","39.6","1","100","0","0","9.3","5.0","21.4","34.4","1.0"
"1673391600","2023-01-1100:00","5.3","41.5","0","Moderateorheavyrainshower","12.9","20.8","336","NNW","1014.0","29.95","1.8","0.07","0.0","94","100","1.4","34.4","1.4","34.4","5.3","41.5","4.3","39.7","1","100","0","0","9.0","5.0","22.6","36.4","1.0"
"1673395200","2023-01-1101:00","5.2","41.4","0","Moderateorheavyrainshower","15.9","25.6","338","NNW","1015.0","29.96","1.8","0.07","0.0","94","100","0.8","33.4","0.8","33.4","5.2","41.4","4.3","39.7","1","100","0","0","9.0","5.0","22.2","35.8","1.0"
"1673398800","2023-01-1102:00","5.2","41.3","0","Moderateorheavyrainshower","15.7","25.2","340","NNW","1015.0","29.97","1.8","0.07","0.0","94","100","0.7","33.3","0.7","33.3","5.2","41.3","4.2","39.6","1","100","0","0","9.0","5.0","21.8","35.2","1.0"
"1673402400","2023-01-1103:00","5.1","41.2","0","Moderateorheavyrainshower","15.4","24.8","342","NNW","1015.0","29.98","1.8","0.07","0.0","94","100","0.7","33.2","0.7","33.2","5.1","41.2","4.2","39.6","1","100","0","0","9.0","5.0","21.5","34.6","1.0"
"1673406000","2023-01-1104:00","5.1","41.2","0","Moderateorheavyrainshower","14.5","23.4","343","NNW","1016.0","30.0","1.9","0.07","0.0","93","100","0.8","33.5","0.8","33.5","5.1","41.2","4.1","39.4","1","100","0","0","9.0","5.0","22.7","36.5","1.0"
"1673409600","2023-01-1105:00","5.1","41.2","0","Moderateorheavyrainshower","13.6","22.0","343","NNW","1016.0","30.02","1.7","0.07","0.0","93","100","1.0","33.7","1.0","33.7","5.1","41.2","4.0","39.2","1","100","0","0","9.0","5.0","21.4","34.4","1.0"
"1673413200","2023-01-1106:00","5.1","41.2","0","Heavyrainattimes","12.8","20.5","344","NNW","1017.0","30.03","1.3","0.05","0.0","92","100","1.1","34.0","1.1","34.0","5.1","41.2","3.9","39.0","1","100","0","0","9.0","5.0","17.9","28.8","1.0"
"1673416800","2023-01-1107:00","5.2","41.4","0","Heavyrainattimes","10.7","17.3","342","NNW","1018.0","30.06","1.0","0.04","0.0","91","100","1.7","35.0","1.7","35.0","5.2","41.4","3.8","38.9","1","100","0","0","9.3","5.0","17.8","28.6","1.0"
"1673420400","2023-01-1108:00","5.3","41.5","1","Moderaterainattimes","8.7","14.0","341","NNW","1019.0","30.08","0.5","0.02","0.0","90","100","2.3","36.1","2.3","36.1","5.3","41.5","3.8","38.8","1","100","0","0","9.7","6.0","15.7","25.2","2.0"
"1673424000","2023-01-1109:00","5.4","41.7","1","Patchyrainpossible","6.7","10.8","340","NNW","1019.0","30.1","0.4","0.02","0.0","89","100","3.0","37.3","3.0","37.3","5.4","41.7","3.7","38.7","1","100","0","0","10.0","6.0","14.1","22.7","2.0"
"1673427600","2023-01-1110:00","5.6","42.1","1","Patchyrainpossible","6.6","10.6","333","NNW","1020.0","30.11","0.3","0.01","0.0","88","100","3.3","37.9","3.3","37.9","5.6","42.1","3.8","38.9","1","100","0","0","10.0","6.0","14.0","22.5","2.0"
"1673431200","2023-01-1111:00","5.9","42.6","1","Patchyrainpossible","6.4","10.3","326","NNW","1020.0","30.12","0.2","0.01","0.0","88","100","3.6","38.5","3.6","38.5","5.9","42.6","4.0","39.1","1","100","0","0","10.0","6.0","13.3","21.4","2.0"
"1673434800","2023-01-1112:00","6.1","43.0","1","Patchyrainpossible","6.3","10.1","318","NW","1020.0","30.13","0.1","0.0","0.0","87","100","4.0","39.1","4.0","39.1","6.1","43.0","4.1","39.4","1","100","0","0","10.0","6.0","12.5","20.2","2.0"
"1673438400","2023-01-1113:00","6.0","42.9","1","Patchyrainpossible","6.4","10.3","309","NW","1021.0","30.14","0.1","0.0","0.0","87","100","3.8","38.9","3.8","38.9","6.0","42.9","4.1","39.3","1","100","0","0","10.0","6.0","11.9","19.2","2.0"
